date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:30:23	5799/5799	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:30:21%20GMT	http://mdc.17173.com/	E:/mdc2/mdc/mdc.17173.com/index.html	(from )
00:30:23	23/23	U-----	200	untouched ('OK')	text/plain	etag:%225bee7f00-17%22	http://mdc.17173.com/robots.txt		(from )
00:30:39	15618/15618	U-----	200	untouched ('OK')	text/css	date:Fri,%2016%20Nov%202018%2008:25:34%20GMT	http://mdc.17173.com/static//css/style-v2.css	E:/mdc2/mdc/mdc.17173.com/static/css/style-v2.css	(from http://mdc.17173.com/)
00:30:39	16958/16958	U-----	200	untouched ('')	image/x-icon	etag:%225bee7efe-423e%22	http://mdc.17173.com/static/favicon.ico	E:/mdc2/mdc/mdc.17173.com/static/favicon.ico	(from http://mdc.17173.com/)
00:30:49	12964/12964	U-----	200	untouched ('')	image/jpeg	etag:%225bee7f00-32a4%22	http://mdc.17173.com/static//images/about-bio.jpg	E:/mdc2/mdc/mdc.17173.com/static/images/about-bio.jpg	(from http://mdc.17173.com/)
00:30:49	2850/2850	U-----	200	untouched ('')	image/png	etag:%225bee7efe-b22%22	http://mdc.17173.com/static/images/pic-niantic.png	E:/mdc2/mdc/mdc.17173.com/static/images/pic-niantic.png	(from http://mdc.17173.com/)
00:30:49	686934/686934	U-----	200	untouched ('')	image/jpeg	etag:%225bee7f00-a7b56%22	http://mdc.17173.com/static//images/index-wuxi.jpg	E:/mdc2/mdc/mdc.17173.com/static/images/index-wuxi.jpg	(from http://mdc.17173.com/)
00:30:49	11789/11789	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:30:40%20GMT	http://mdc.17173.com/oldAct	E:/mdc2/mdc/mdc.17173.com/oldAct.html	(from http://mdc.17173.com/)
00:30:49	8576/8576	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:30:40%20GMT	http://mdc.17173.com/wuxi2018	E:/mdc2/mdc/mdc.17173.com/wuxi2018.html	(from http://mdc.17173.com/)
00:30:49	27248/27248	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:30:40%20GMT	http://mdc.17173.com/futureAct	E:/mdc2/mdc/mdc.17173.com/futureAct.html	(from http://mdc.17173.com/)
00:30:52	5693/5693	U-----	200	untouched ('')	image/png	etag:%225bee7efe-163d%22	http://mdc.17173.com/static/images/pic-17173.png	E:/mdc2/mdc/mdc.17173.com/static/images/pic-17173.png	(from http://mdc.17173.com/)
00:30:55	10764/10764	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:30:45%20GMT	http://mdc.17173.com/bio/wuxi2018	E:/mdc2/mdc/mdc.17173.com/bio/wuxi2018.html	(from http://mdc.17173.com/)
00:30:57	57412/57412	U-----	200	untouched ('')	application/javascript	etag:%225d2fe598-e044%22	http://js.17173.com/ping.js	E:/mdc2/mdc/js.17173.com/ping.js	(from http://mdc.17173.com/)
00:30:58	43/43	U-----	200	untouched ('')	image/gif	date:Thu,%2010%20Feb%202022%2016:12:13%20GMT	http://log.17173.com/ping.gif	E:/mdc2/mdc/log.17173.com/ping.gif	(from http://mdc.17173.com/)
00:30:58	6194/6194	U--MCZ	200	updated ('OK')	application/x-javascript	date:Fri,%2016%20Nov%202018%2008:25:36%20GMT	http://mdc.17173.com/static//js/utils.js	E:/mdc2/mdc/mdc.17173.com/static/js/utils.js	(from http://mdc.17173.com/)
00:30:58	19383/19383	U-----	200	untouched ('')	image/png	etag:%225bee7f00-4bb7%22	http://mdc.17173.com/static//images/wrap-v2.png	E:/mdc2/mdc/mdc.17173.com/static/images/wrap-v2.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:30:58	20383/20383	U-----	200	untouched ('')	image/png	etag:%225bee7f00-4f9f%22	http://mdc.17173.com/static//images/body-v2.png	E:/mdc2/mdc/mdc.17173.com/static/images/body-v2.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:30:59	9573/9573	U-----	200	untouched ('')	image/png	etag:%225bee7efe-2565%22	http://mdc.17173.com/static//images/head-v2.png	E:/mdc2/mdc/mdc.17173.com/static/images/head-v2.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:30:59	9036/9036	U-----	200	untouched ('')	image/png	etag:%225bee7efe-234c%22	http://mdc.17173.com/static//images/ico-v2.png	E:/mdc2/mdc/mdc.17173.com/static/images/ico-v2.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:30:59	4912/4912	U-----	200	untouched ('')	image/png	etag:%225bee7f00-1330%22	http://mdc.17173.com/static//images/about-ingress-v2.png	E:/mdc2/mdc/mdc.17173.com/static/images/about-ingress-v2.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:30:59	5327/5327	U-----	200	untouched ('')	image/png	etag:%225bee7f00-14cf%22	http://mdc.17173.com/static//images/about-md-v2.png	E:/mdc2/mdc/mdc.17173.com/static/images/about-md-v2.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:30:59	93636/93636	U--MCZ	200	updated ('OK')	application/x-javascript	date:Fri,%2016%20Nov%202018%2008:25:34%20GMT	http://mdc.17173.com/static//js/jquery-1.8.3.min.js	E:/mdc2/mdc/mdc.17173.com/static/js/jquery-1.8.3.min.js	(from http://mdc.17173.com/)
00:30:59	4017/4017	U-----	200	untouched ('')	image/png	etag:%225bee7efe-fb1%22	http://mdc.17173.com/static//images/index-bio.png	E:/mdc2/mdc/mdc.17173.com/static/images/index-bio.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:30:59	3922/3922	U-----	200	untouched ('')	image/png	etag:%225bee7efe-f52%22	http://mdc.17173.com/static//images/box-v2.png	E:/mdc2/mdc/mdc.17173.com/static/images/box-v2.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:30:59	94391/94391	U-----	200	untouched ('')	image/png	etag:%225bee7f00-170b7%22	http://mdc.17173.com/static//images/card-v2.png	E:/mdc2/mdc/mdc.17173.com/static/images/card-v2.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:30:59	28751/28751	U-----	200	untouched ('')	image/png	etag:%225bee7f00-704f%22	http://mdc.17173.com/static//images/card-v2-ie6.png	E:/mdc2/mdc/mdc.17173.com/static/images/card-v2-ie6.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:31:00	10078/10078	U-----	200	untouched ('')	image/png	etag:%225bee7efe-275e%22	http://mdc.17173.com/static//images/ico2-v2.png	E:/mdc2/mdc/mdc.17173.com/static/images/ico2-v2.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:31:00	1671/1671	U-----	200	untouched ('')	image/png	etag:%225bee7f00-687%22	http://mdc.17173.com/static//images/apply-v2.png	E:/mdc2/mdc/mdc.17173.com/static/images/apply-v2.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:31:00	44202/44202	U-----	200	untouched ('')	image/png	etag:%225bee7efe-acaa%22	http://mdc.17173.com/static//images/map.png	E:/mdc2/mdc/mdc.17173.com/static/images/map.png	(from http://mdc.17173.com/static//css/style-v2.css)
00:31:00	51291/51291	U-----	200	untouched ('')	image/png	etag:%225bee7efe-c85b%22	http://mdc.17173.com/static//images/old-city-wuxi.png	E:/mdc2/mdc/mdc.17173.com/static/images/old-city-wuxi.png	(from http://mdc.17173.com/oldAct)
00:31:01	77189/77189	U-----	200	untouched ('')	image/png	etag:%225bee7efe-12d85%22	http://mdc.17173.com/static//images/old-city-xiamen.png	E:/mdc2/mdc/mdc.17173.com/static/images/old-city-xiamen.png	(from http://mdc.17173.com/oldAct)
00:31:01	9938/9938	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:30:59%20GMT	http://mdc.17173.com/xiamen2017	E:/mdc2/mdc/mdc.17173.com/xiamen2017.html	(from http://mdc.17173.com/oldAct)
00:31:01	9483/9483	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:30:59%20GMT	http://mdc.17173.com/fuzhou2017	E:/mdc2/mdc/mdc.17173.com/fuzhou2017.html	(from http://mdc.17173.com/oldAct)
00:31:01	58819/58819	U-----	200	untouched ('')	image/png	etag:%225bee7efe-e5c3%22	http://mdc.17173.com/static//images/old-city-fuzhou.png	E:/mdc2/mdc/mdc.17173.com/static/images/old-city-fuzhou.png	(from http://mdc.17173.com/oldAct)
00:31:01	1175/1175	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Feb%202022%2016:31:00%20GMT	http://mdc.17173.com/72	E:/mdc2/mdc/mdc.17173.com/72	(from http://mdc.17173.com/fuzhou2017)
00:31:01	11963/11963	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2010%20Feb%202022%2016:31:00%20GMT	http://mdc.17173.com/chongqing2017	E:/mdc2/mdc/mdc.17173.com/chongqing2017.html	(from http://mdc.17173.com/oldAct)
